"","x"
"1","A1SEPA_z"
"2","A1PAGE_M2"
"3","A1PRSEX"
"4","raceA"
"5","A1SE2"
"6","A1SE3"
"7","A1SE4"
"8","A1PC1"
"9","sibling"
"10","CEDUC4cat"
"11","A1PC14"
"12","A1SE9"
"13","A1SE7"
"14","A1SE8c"
"15","mom_smk"
"16","dad_smk"
"17","B1PA58"
"18","A1SE6"
"19","flourish_z"
"20","flourish_dz"
"21","emotion_z"
"22","social_z"
"23","psych_z"
"24","B1SPOSAFz"
"25","B1SQ1z"
"26","B1SSWBMSz"
"27","B1SSWBSIz"
"28","B1SSWBAOz"
"29","B1SSWBSCz"
"30","B1SSWBSAz"
"31","B1SPWBA1z"
"32","B1SPWBE1z"
"33","B1SPWBG1z"
"34","B1SPWBR1z"
"35","B1SPWBU1z"
"36","B1SPWBS1z"
